what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224393343218
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224393343484
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224393346968
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224393347218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393349703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393351515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393354546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393355265
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1224393358546
executed,command,,,AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction,1224393368281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393389781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393471046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393471828
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224393476406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393479156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224393528203
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1224393528359
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224393528937
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224393533781
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224393534031
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1224393540703
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224393542296
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224393553125
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1224393557343
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1224393558125
