what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1224407389000
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224407395015
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224407396281
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224407396593
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224407397718
started,bundle,org.eclipse.jst.server.core,1.1.1.v20080730,org.eclipse.jst.server.core,1224407400796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224407400859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224407402859
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1224407403734
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1224407407421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224407483406
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224407543453
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1224407543484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224407544593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224407545640
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1224407545718
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1224407545734
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1224407545765
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1224407545796
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1224407546234
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1224407547187
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1224407547218
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1224407547250
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1224407547296
